tweet_id,content,llama_sentiment,phi_sentiment,deepseek_sentiment,final_sentiment,manual_sentiment
1410004022241660928#m,"Mano olha isso!!

copilot.github.com/

Imagina a galera que não gosta de escrever testes. Seria o paraíso?? haha",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1410292536334290947#m,"Gracias @github #Copilot, vamoa faler ferga :B",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1410597245787856903#m,"Meu, relaxem quanto ao Github Copilot: enquanto a IA não tiver a MALEMOLÊNCIA e a MALANDRAGEM necessárias pra fazer aquela gambiarra, estaremos à frente.
Todo mundo sabe que tem coisas que só se conserta do jeito errado, infelizmente.",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1410659312129740800#m,"GitHub Copilot é um avanço DO CARALHO pra programação em geral, bagulho foda od krl",NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1411044246778490883#m,2 meses e o copilot tá gerando código minificado,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1412030697540366340#m,"Quem está reclamando do GitHub Copilot pois ele utilizou códigos de projetos open-source para treinar sua IA, criando um serviço pago a partir disto, esqueceu o que software-livre/open-source significa!",NEUTRO,NEGATIVO,POSITIVO,,NEGATIVO
1413120715033915395#m,"o copilot: ˜espaço˜
eu: 😱",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1413339638027243525#m,que porra esse github copilot mano???? BAGULHO LARGA OS NEGÓCIO PRONTIN JÁ,NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1415053877884370948#m,Meu Deus esse Github Copilot é muito bom e ao mesmo tempo muito assustador,NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1415167203117305858#m,"Eu já achava o Tabnine meio que bruxaria, agora tô utilizando o Copilot do Github e é bruxaria pura.
Eu só escrevi "" array.map( "" e ele criou o resto todo sozinho com return do componente React já preenchido com todas props e key 😮",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1416042760268926982#m,"Tão famoso que o copilot tá cuspindo exatamente isso

Polêmicas a parte, uma vez dei de fazer umas modificações em uma rom de super Mario world e realmente, puro leite de pedra",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1416090199340326915#m,"mano o copilot, galera da firma pirou",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1416118266381078528#m,vai copilot trabalha pra mim vai,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1417473530120265731#m,"MANO, eu digitei testID="""" e dei alt tab, quando voltei o github copilot meteu essa???!???!??!?!??",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1419712857227288582#m,"caralho! olha, ta aí um puta benefício do copilot
pq dependendo da complexidade do regex, não é tão simples achar pelas internets
já teve casos que perdi horas dichavando no regexr.com pra montar o regex q eu precisava uahuaha",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
